1200,2500
1201,2501
1202,2502
1203,2503
1204,2504
1205,2505
1206,2506
1207,2507
1208,2508
1209,2509
1210,2510
1211,2511
1212,2512
1213,2513
1214,2514
1215,2515
1216,2516
1217,2517
1218,2518
1219,2519
1220,2520
1221,2521
1222,2522
1223,2523
1224,2524
1225,2525
1226,2526
1227,2527
1228,2528
1229,2529
1230,2530
1231,2531
1232,2532
1233,2533
1234,2534
1235,2535
1236,2536
1237,2537
1238,2538
1239,2539
1240,2540
1241,2541
1242,2542
1243,2543
1244,2544
1245,2545
1246,2546
1247,2547
1248,2548
1249,2549
1250,2550
1251,2551
1252,2552
1253,2553
1254,2554
1255,2555
1256,2556
1257,2557
1258,2558
1259,2559
1260,2560
1261,2561
1262,2562
1263,2563
1264,2564
1265,2565
1266,2566
1267,2567
1268,2568
1269,2569
1270,2570
1271,2571
1272,2572
1273,2573
1274,2574
1275,2575
1276,2576
1277,2577
1278,2578
1279,2579
1280,2580
1281,2581
1282,2582
1283,2583
1284,2584
1285,2585
1286,2586
1287,2587
1288,2588
1289,2589
1290,2590
1291,2591
1292,2592
1293,2593
1294,2594
1295,2595
1296,2596
1297,2597
1298,2598
